Wavelength (nm),Power Meter Range (mW),Front Panel Bias,Bias (V),Command (V),Power (mW),Photons Per Pulse (#)
1000,550,5.098001937476107,0.12089507254831311,0.05,0.19923404309849757,12537517.018276934
1000,550,5.098001937476107,0.12089507254831311,0.19,0.17222676169959938,10837986.933507834
1000,550,5.098001937476107,0.12089507254831311,0.16,0.08677749432773763,5460785.190207511
1000,550,5.098001937476107,0.12089507254831311,0.21,0.16868482315744793,10615097.742186446
1000,550,5.098001937476107,0.12089507254831311,0.24,0.2554623174814805,16075882.932160802
1000,550,5.098001937476107,0.12089507254831311,0.17,0.14079205712406428,8859845.359653223
1000,550,5.098001937476107,0.12089507254831311,0.06,0.20941711641132443,13178323.443586541
1000,550,5.098001937476107,0.12089507254831311,0.07,0.13592189162587776,8553372.721414628
1000,550,5.098001937476107,0.12089507254831311,0.0,0.10005976386305193,6296619.657804079
1000,550,5.098001937476107,0.12089507254831311,0.2,0.16248643070722635,10225041.657282356
1000,550,5.098001937476107,0.12089507254831311,0.02,0.2342106862190304,14738547.783632044
1000,550,5.098001937476107,0.12089507254831311,0.15,0.29840832232711134,18778414.378319867
1000,550,5.098001937476107,0.12089507254831311,0.04,0.2674163600647762,16828133.953092914
1000,550,5.098001937476107,0.12089507254831311,0.18,0.07305248246987195,4597089.573394818
1000,550,5.098001937476107,0.12089507254831311,0.1,0.132822695398767,8358344.678836729
1000,550,5.098001937476107,0.12089507254831311,0.12,0.2789276603375771,17552523.8255676
1000,550,5.098001937476107,0.12089507254831311,0.14,0.19126468137351815,12036016.33748044
1000,550,5.098001937476107,0.12089507254831311,0.09,0.16912756547420815,10642958.891038142
1000,550,5.098001937476107,0.12089507254831311,0.03,0.28291234119762465,17803274.165812165
1000,550,5.098001937476107,0.12089507254831311,0.11,0.1770969271956555,11144459.571612366
1000,550,5.098001937476107,0.12089507254831311,0.01,0.12441059135420984,7828982.849011237
1000,550,5.098001937476107,0.12089507254831311,0.22,0.2833550835174966,17831135.31485968
1000,550,5.098001937476107,0.12089507254831311,0.08,0.16912756547512042,10642958.89109555
1000,550,5.098001937476107,0.12089507254831311,0.25,0.13193721076595855,8302622.381178139
1000,550,5.098001937476107,0.12089507254831311,0.13,0.22358487058833398,14069880.209400931
1000,550,5.098001937476107,0.12089507254831311,0.23,0.16912756547523922,10642958.891103026
980,550,9.970894368819796,0.23651989295794884,0.2,0.4126358403729792,25447258.98625765
980,550,9.970894368819796,0.23651989295794884,0.23,0.3825293627526829,23590592.02180989
980,550,9.970894368819796,0.23651989295794884,0.14,0.2585615137141354,15945492.755585834
980,550,9.970894368819796,0.23651989295794884,0.24,0.44539877190751054,27467749.506796643
980,550,9.970894368819796,0.23651989295794884,0.19,0.47727621880038995,29433632.175084848
980,550,9.970894368819796,0.23651989295794884,0.18,0.3904987244760183,24082062.688889068
980,550,9.970894368819796,0.23651989295794884,0.1,0.3413543271785199,21051326.908345666
980,550,9.970894368819796,0.23651989295794884,0.09,0.3409115848595925,21024022.982337356
980,550,9.970894368819796,0.23651989295794884,0.13,0.3170034996892692,19549610.98108027
980,550,9.970894368819796,0.23651989295794884,0.05,0.2922099298794536,18020591.127705574
980,550,9.970894368819796,0.23651989295794884,0.08,0.35330836976650204,21788532.90914815
980,550,9.970894368819796,0.23651989295794884,0.21,0.4706350840335414,29024073.286012396
980,550,9.970894368819796,0.23651989295794884,0.17,0.2984083223317546,18402846.09103982
980,550,9.970894368819796,0.23651989295794884,0.01,0.4210479444180768,25966033.579519965
980,550,9.970894368819796,0.23651989295794884,0.06,0.3426825541263341,21133238.685817547
980,550,9.970894368819796,0.23651989295794884,0.02,0.33028576923099806,20368728.759720493
980,550,9.970894368819796,0.23651989295794884,0.15,0.46576491853360424,28723730.10043061
980,550,9.970894368819796,0.23651989295794884,0.07,0.28114137193324407,17337992.979161333
980,550,9.970894368819796,0.23651989295794884,0.03,0.3116905918736397,19221963.869689673
980,550,9.970894368819796,0.23651989295794884,0.0,0.34002610021968294,20969415.130194012
980,550,9.970894368819796,0.23651989295794884,0.12,0.47550524953030926,29324416.47139873
980,550,9.970894368819796,0.23651989295794884,0.11,0.3298430269108751,20341424.83363845
980,550,9.970894368819796,0.23651989295794884,0.25,0.29309541451816257,18075198.979774877
980,550,9.970894368819796,0.23651989295794884,0.22,0.3989108285134474,24600837.28167846
980,550,9.970894368819796,0.23651989295794884,0.04,0.3072631686909406,18948924.610012025
980,550,9.970894368819796,0.23651989295794884,0.16,0.42768907918805876,26375592.46878565
880,550,34.33535652553839,0.814643995006131,0.25,1.1316493647743457,62667525.06276432
880,550,34.33535652553839,0.814643995006131,0.13,0.9089499788299638,50335066.10104816
880,550,34.33535652553839,0.814643995006131,0.18,0.9368427448630385,51879688.19766029
880,550,34.33535652553839,0.814643995006131,0.21,0.819516030597929,45382468.26752171
