750,47196441.0171557,13316861049.5904,5.65483740743794,4.64484519490212,13332027649.7679
760,47825726.8973844,14326271288.9649,5.65436168977854,4.65582133240124,14370914297.3363
770,48455012.7776132,46713766015.8876,3.00860365734804,4.66097038951438,46818156149.9018
780,49084298.6578419,20731877855.5244,4.4975693462916,4.67374790851317,20773771738.934
790,49713584.5380707,13324879743.9,5.65486674949148,4.71698851430381,13258294917.8247
800,50342870.4182994,34650316544.4957,3.42991018289019,4.6773547746994,34698602747.1392
810,50972156.2985282,25314203857.1172,4.03644952459654,4.69818569775615,25369607436.459
820,51601442.1787569,14287163269.2704,5.53540360950981,4.64511331665906,14352887937.0999
830,52230728.0589857,19721379455.8949,4.33198687311321,4.68221076154474,19764279514.9962
840,52860013.9392144,19244539478.1624,4.2715272855779,4.69218553834605,19284829483.5578
850,53489299.8194432,10252699422.9257,5.56093217123793,4.673428816637,10277121307.0872
860,54118585.6996719,11671809386.6607,5.65464424896222,4.68931994747469,11755602011.0081
870,54747871.5799007,12484430643.7584,5.04803968057224,4.68556023703305,12558728733.5542
880,55377157.4601294,11984343108.796,4.85240916837333,4.69613530250506,12036526207.2245
890,56006443.3403581,23081486609.7397,3.30543833346736,4.69070338952584,23137662605.2008
900,56635729.2205868,12134195560.6788,4.2172736217454,4.67311953409651,12168178002.5571
910,57265015.1008156,16722908652.9434,3.5251252198517,4.66408948525118,16740448344.526
920,57894300.9810443,12140877041.8104,3.93793750903418,4.67591924278247,12166363032.9141
930,58523586.8612731,9600179837.59479,4.27715409784848,4.65878742303318,9613958472.17158
940,59152872.7415018,14662375576.42,3.21054777704106,4.67153545443716,14676339793.1782
950,59782158.6217306,7834455750.31006,4.42563447454878,4.65992051817435,7854372130.27285
960,60411444.5019593,18394171540.1269,2.65069746026778,4.70364655138516,18418079449.4757
970,61040730.3821881,5712819537.63378,4.75043413951954,4.66741182942632,5744324290.31455
980,61670016.2624168,4495984720.97136,5.15979363720807,4.6370620261673,4515025651.39183
990,62299302.1426456,8625135178.01245,3.21307048704617,4.69885460516292,8634835649.03483
1000,62928588.0228743,5663516293.88269,3.60876831284926,4.66142847175563,5684872189.60993
1010,63557873.903103,8682142622.18635,2.79976194665531,4.67262097293746,8692656498.83254
1020,64187159.7833318,4174008579.41016,3.88249293491315,4.63471831334475,4196076516.45512
1030,64816445.6635605,2880002283.02404,4.59883965325212,4.6078335404955,2877801277.23265
1040,65445731.5437892,3906058145.79061,3.58993371602147,4.65928762172167,3906625410.1323
1050,66075017.424018,5558863212.03454,2.75222951569291,4.66844626950228,5571006351.18188
1060,66704303.3042467,2251506769.15919,3.92326413772618,4.60202464281677,2240996171.27125
1070,67333589.1844755,1390925654.99033,4.52306076526208,4.62539976629337,1400634760.18205
1080,67962875.0647042,1159841638.07683,4.5825497829664,4.67230508890508,1161803448.95151
