1060,-0.229,-10,26.2,13
960,0.325,14,11.8,14
1080,-0.405,-17,29.6,13
800,1.313,55,7.4,17
770,1.435,60,7.7,18
900,0.725,31,9.8,15
850,0.966,41,8.1,16
1040,-0.096,-4,20.4,13
1070,-0.275,-12,28,13
810,1.2,51,6.7,17
1020,0.082,3,18.7,14
910,0.649,27,10.5,15
880,0.819,35,8,16
820,1.134,48,7.3,17
790,1.338,56,6.6,18
1030,-0.017,-1,19.7,13
950,0.367,15,11.8,15
990,0.179,8,14.4,14
1050,-0.14,-6,22.1,13
1010,0.062,3,17.5,14
1000,0.136,6,16.8,14
930,0.52,22,11.2,15
890,0.732,31,8.7,16
750,1.591,67,7.6,18
970,0.219,9,12.5,14
760,1.56,66,7,18
780,1.414,60,7.2,18
920,0.606,26,10.5,15
980,0.281,12,13.6,14
870,0.805,34,7.6,16
830,1.125,47,7.4,17
940,0.487,21,12,15
840,1.04,44,7.4,16
860,0.869,37,6.9,16
