810,1.2,51,26.7,277
850,0.966,41,30.6,264
910,0.649,27,38.7,247
890,0.732,31,35.9,252
860,0.869,37,30.4,261
980,0.281,12,58.2,229
870,0.805,34,31.8,258
790,1.338,56,27,284
780,1.414,60,26.6,288
750,1.591,67,26.4,299
930,0.52,22,42.6,241
760,1.56,66,26.3,295
920,0.606,26,40.9,244
770,1.435,60,26.3,291
880,0.819,35,33.3,255
990,0.179,8,65.9,227
950,0.367,15,47.1,236
900,0.725,31,37.8,249
940,0.487,21,44.8,239
840,1.04,44,29.2,267
820,1.134,48,27.1,274
970,0.219,9,53,231
960,0.325,14,49.5,234
830,1.125,47,28.2,270
800,1.313,55,26.8,280
