940,0.487,21,14.4,22
900,0.725,31,11.8,23
830,1.125,47,9,25
980,0.281,12,16.4,21
920,0.606,26,12.6,22
1070,-0.275,-12,34.9,19
1060,-0.229,-10,31.8,19
860,0.869,37,8.5,24
760,1.56,66,8.4,27
1040,-0.096,-4,24.8,20
840,1.04,44,9,24
1000,0.136,6,20.3,21
780,1.414,60,8.6,26
1050,-0.14,-6,26.7,20
990,0.179,8,17.6,21
1020,0.082,3,22.6,20
910,0.649,27,12.5,23
820,1.134,48,8.8,25
750,1.591,67,9,27
880,0.819,35,9.8,23
770,1.435,60,9.2,27
790,1.338,56,8,26
800,1.313,55,8.9,26
810,1.2,51,8.1,25
950,0.367,15,14.2,22
1010,0.062,3,21.1,20
960,0.325,14,14.4,21
870,0.805,34,9.4,24
970,0.219,9,15.2,21
1080,-0.405,-17,37.6,19
1030,-0.017,-1,23.7,20
850,0.966,41,9.7,24
930,0.52,22,13.5,22
890,0.732,31,10.6,23
