Wavelength (nm),Power Meter Range (mW),Front Panel Bias,Bias (V),Command (V),Power (mW),Photons Per Pulse (#)
860,550,38.526830400000016,0.9141000000000004,0.08,25.238968740752895,1365897292.7677755
860,550,38.526830400000016,0.9141000000000004,0.23,164.03873393967044,8877544280.779732
860,550,38.526830400000016,0.9141000000000004,0.22,148.5312289082333,8038300040.747806
860,550,38.526830400000016,0.9141000000000004,0.15,73.04805925533459,3953257655.0045357
860,550,38.526830400000016,0.9141000000000004,0.03,4.426537695708966,239557959.63805377
860,550,38.526830400000016,0.9141000000000004,0.16,81.56420941513804,4414139657.259132
860,550,38.526830400000016,0.9141000000000004,0.17,90.3203263696635,4888008323.0589695
860,550,38.526830400000016,0.9141000000000004,0.04,6.909436616908819,373928937.68863094
860,550,38.526830400000016,0.9141000000000004,0.12,47.1777370312078,2553192404.640003
860,550,38.526830400000016,0.9141000000000004,0.2,121.81082827875854,6592229749.35201
860,550,38.526830400000016,0.9141000000000004,0.21,132.34057446884424,7162084720.935956
860,550,38.526830400000016,0.9141000000000004,0.09,25.768931306183525,1394578117.282651
860,550,38.526830400000016,0.9141000000000004,0.05,8.687932511101092,470178620.15499
860,550,38.526830400000016,0.9141000000000004,0.02,2.2296503134001266,120665521.56604505
860,550,38.526830400000016,0.9141000000000004,0.01,1.1737098849806271,63519518.996876106
860,550,38.526830400000016,0.9141000000000004,0.06,13.12066861393337,710072028.8201482
860,550,38.526830400000016,0.9141000000000004,0.18,99.18447294551906,5367723399.178861
860,550,38.526830400000016,0.9141000000000004,0.11,38.970179447627864,2109010996.1680405
860,550,38.526830400000016,0.9141000000000004,0.14,61.19628839209997,3311856577.8496985
860,550,38.526830400000016,0.9141000000000004,0.19,104.57176331909072,5659275934.950016
860,550,38.526830400000016,0.9141000000000004,0.0,1.338410027269613,72432857.76209074
860,550,38.526830400000016,0.9141000000000004,0.07,15.1718937853266,821081434.0475168
860,550,38.526830400000016,0.9141000000000004,0.24,161.40441482713297,8734978656.127586
860,550,38.526830400000016,0.9141000000000004,0.25,173.97211002878296,9415124545.945436
860,550,38.526830400000016,0.9141000000000004,0.1,29.74520016067626,1609768164.049452
860,550,38.526830400000016,0.9141000000000004,0.13,49.386578622687324,2672731787.605488
890,550,31.1937744,0.7401,0.25,129.28963548912105,7241052644.517013
890,550,31.1937744,0.7401,0.02,1.4420117296800754,80761948.23445895
890,550,31.1937744,0.7401,0.0,0.5281915853564788,29582132.098121557
890,550,31.1937744,0.7401,0.24,120.2169552179789,6732924090.9661045
890,550,31.1937744,0.7401,0.06,8.341265275660746,467164601.04819024
890,550,31.1937744,0.7401,0.08,14.373629381534144,805015859.5521986
890,550,31.1937744,0.7401,0.16,55.462332007059615,3106247955.0775146
890,550,31.1937744,0.7401,0.21,90.8122132503674,5086069076.01922
890,550,31.1937744,0.7401,0.14,41.07674751156903,2300562532.1128874
890,550,31.1937744,0.7401,0.23,106.40825917372774,5959548138.359525
890,550,31.1937744,0.7401,0.22,97.39446522041024,5454717598.031386
890,550,31.1937744,0.7401,0.01,1.01210893891305,56684621.94150371
890,550,31.1937744,0.7401,0.18,66.35999275104182,3716587174.077799
890,550,31.1937744,0.7401,0.12,30.865338261270413,1728657818.510829
890,550,31.1937744,0.7401,0.05,5.142009282016273,287985651.5088399
890,550,31.1937744,0.7401,0.11,25.155733185746012,1408883145.3526504
890,550,31.1937744,0.7401,0.07,10.155180556863856,568755544.469102
890,550,31.1937744,0.7401,0.13,34.81371438966516,1949792322.4321916
890,550,31.1937744,0.7401,0.17,58.62616894833397,3283443209.4671283
890,550,31.1937744,0.7401,0.15,45.52985001704525,2549964965.2746477
890,550,31.1937744,0.7401,0.09,16.048966324532312,898845523.1262343
890,550,31.1937744,0.7401,0.2,82.12516408214586,4599538348.984315
890,550,31.1937744,0.7401,0.03,2.0104928659874357,112600554.78511952
890,550,31.1937744,0.7401,0.19,72.26086329754348,4047073945.9992323
890,550,31.1937744,0.7401,0.04,2.943350930083038,164846617.096486
890,550,31.1937744,0.7401,0.1,19.926060841918382,1115987797.5394304
810,550,50.74859040000001,1.2041000000000004,0.24,233.36828831298087,11895284867.009247
810,550,50.74859040000001,1.2041000000000004,0.04,9.018661023242185,459700599.2801447
810,550,50.74859040000001,1.2041000000000004,0.06,16.925153377576997,862711563.3384167
810,550,50.74859040000001,1.2041000000000004,0.09,35.17676309799663,1793035466.707382
810,550,50.74859040000001,1.2041000000000004,0.08,27.23440840983335,1388196522.1639755
810,550,50.74859040000001,1.2041000000000004,0.18,130.38675147109404,6646093875.241954
810,550,50.74859040000001,1.2041000000000004,0.17,113.06400702590338,5763116237.862235
810,550,50.74859040000001,1.2041000000000004,0.19,136.92428841068718,6979326229.934298
810,550,50.74859040000001,1.2041000000000004,0.1,38.51725403224056,1963307492.7214804
810,550,50.74859040000001,1.2041000000000004,0.11,45.95355443228388,2342351758.995296
810,550,50.74859040000001,1.2041000000000004,0.0,0.8682176855730137,44254927.570174046
810,550,50.74859040000001,1.2041000000000004,0.01,0.7628450138904175,38883855.27957526
810,550,50.74859040000001,1.2041000000000004,0.12,55.60755148510488,2834436805.677218
810,550,50.74859040000001,1.2041000000000004,0.14,77.39357590345543,3944917447.4529333
810,550,50.74859040000001,1.2041000000000004,0.02,1.7191684207386684,87629721.44538525
810,550,50.74859040000001,1.2041000000000004,0.2,147.9339690466816,7540513392.109083
