990,0.179,8,47.1,150
880,0.819,35,26.5,169
750,1.591,67,21.1,198
850,0.966,41,24.6,175
1030,-0.017,-1,74.9,144
900,0.725,31,30.1,165
870,0.805,34,25.5,171
1020,0.082,3,65.4,146
1000,0.136,6,55.6,149
840,1.04,44,23.3,177
930,0.52,22,33.3,160
800,1.313,55,21.7,186
950,0.367,15,36.5,157
1010,0.062,3,60.1,147
980,0.281,12,43.4,152
910,0.649,27,30.7,163
790,1.338,56,21.9,188
830,1.125,47,22.5,179
760,1.56,66,21.1,196
770,1.435,60,21.2,193
860,0.869,37,24.4,173
810,1.2,51,21.5,184
960,0.325,14,37.9,155
920,0.606,26,32.3,162
970,0.219,9,40.2,153
940,0.487,21,35,158
820,1.134,48,21.7,181
890,0.732,31,28.5,167
780,1.414,60,21.4,191
