800,1.313,55,5.1,8
750,1.591,67,5.4,8
950,0.367,15,8.1,6
1080,-0.405,-17,19.2,6
940,0.487,21,8.3,7
850,0.966,41,5.5,7
1000,0.136,6,11.4,6
1020,0.082,3,12.8,6
910,0.649,27,7.3,7
780,1.414,60,4.9,8
980,0.281,12,9.3,6
820,1.134,48,5,7
810,1.2,51,4.4,8
870,0.805,34,5,7
860,0.869,37,4.4,7
960,0.325,14,7.8,6
1030,-0.017,-1,13.7,6
1070,-0.275,-12,18.6,6
990,0.179,8,9.6,6
880,0.819,35,5.2,7
930,0.52,22,7.8,7
920,0.606,26,7.1,7
770,1.435,60,5.4,8
1040,-0.096,-4,14,6
890,0.732,31,5.8,7
1010,0.062,3,12,6
900,0.725,31,6.7,7
830,1.125,47,5,7
840,1.04,44,4.9,7
760,1.56,66,4.9,8
1050,-0.14,-6,15,6
790,1.338,56,4.5,8
1060,-0.229,-10,18.2,6
970,0.219,9,8.4,6
