750,1.591,67,18.1,148
880,0.819,35,22.7,126
890,0.732,31,24.5,124
970,0.219,9,33.8,114
800,1.313,55,18.8,138
940,0.487,21,29.8,118
980,0.281,12,36.5,113
920,0.606,26,27.7,120
820,1.134,48,18.6,135
900,0.725,31,25.8,123
1060,-0.229,-10,NaN,NaN
780,1.414,60,18.5,142
960,0.325,14,31.9,115
1010,0.062,3,48.3,110
1000,0.136,6,45.3,111
760,1.56,66,18.2,146
830,1.125,47,19.3,133
870,0.805,34,21.9,127
1040,-0.096,-4,60.4,106
1030,-0.017,-1,56.3,107
790,1.338,56,19,140
990,0.179,8,39.2,112
840,1.04,44,19.9,132
810,1.2,51,18.6,137
1080,-0.405,-17,NaN,NaN
1070,-0.275,-12,NaN,NaN
930,0.52,22,28.4,119
1020,0.082,3,51.6,108
910,0.649,27,26.3,122
850,0.966,41,21.2,130
1050,-0.14,-6,69.3,105
950,0.367,15,31,116
860,0.869,37,20.9,129
770,1.435,60,18.3,144
