Wavelength (nm),Power Meter Range (mW),Front Panel Bias,Bias (V),Command (V),Power (mW),Photons Per Pulse (#)
1000,550,5.748648240133339,0.13633371868197938,0,0.31921721128474234,20087888.37874837
980,550,11.858290000867592,0.28130433753007766,0,0.2607752252989796,16082012.385023477
880,550,34.513873882075245,0.8188798852048985,0,0.6521594344011322,36114735.687940404
1020,550,3.449764843507305,0.08178542244464941,0,0.14521948031023024,9321225.986325148
760,550,65.73792508382546,1.5597694828166635,0,0.7655014678017508,36610664.138633475
940,550,20.511629821585803,0.48663225658660314,0,0.349766431219492,20689689.19517586
830,550,47.421355329768964,1.125150800345695,0,0.8589200968953921,44862022.00534083
900,550,30.539465242175538,0.7245744410159344,0,0.5516569282225072,31243492.409470633
960,550,13.71852364673041,0.325444277874203,0,0.38739952824194546,23403365.100473505
920,550,25.556189082233367,0.6063304167196604,0,0.18418080427561045,10663018.917663012
840,550,43.814152300646406,1.0395584733448748,0,0.9186903098249712,48561982.58316917
990,550,7.56637932165984,0.1794651509505467,0,0.15761626520359123,9819383.32851388
890,550,30.84400227050696,0.731800547420913,0,0.5038407578701365,28218328.858216893
1060,550,-9.658796319269909,-0.22925674637599444,0,0.12219687976679067,8151057.7307965765
1070,550,-11.578746088066115,-0.2748136410418118,0,0.08102184419249425,5455491.5718259895
1030,550,-0.7313857902826788,-0.01742563093874997,0,0.1279525299025801,8293428.201945686
790,550,56.38616928848888,1.3378694307253436,0,1.1993889394298964,59625923.43437511
800,550,55.336345469884655,1.3129590325997689,0,0.974033099575917,49035622.11508493
780,550,59.58697440595001,1.4138186789566727,0,1.0740928634338918,52721094.89504578
750,550,67.04892180939586,1.59087703609994,0,1.2808535259353717,60451727.888424695
930,550,21.916439234421563,0.5199658132693044,0,0.36216321611895924,21195090.43649593
970,550,9.252365489158427,0.21947051749142055,0,0.36747612393238305,22431011.002848115
1080,550,-17.077793607306006,-0.405295975875712,0,0.059770212923151045,4062155.513486885
860,550,36.642142734692314,0.8693798105232611,0,0.7672724370717506,41523699.14066364
1010,550,2.618367970633031,0.062057896038179364,0,0.22048567435852723,14013600.68831991
770,550,60.488202029756934,1.4352031612983327,0,0.8881410898764115,43034887.85828483
1050,550,-5.8822769549469225,-0.13964685257561985,0,0.3263010883662741,21560350.099277597
1040,550,-4.031441341469689,-0.09572991034239013,0,0.22934052072798838,15009358.151676763
820,550,47.80175201571986,1.1341769176091463,0,1.0005976386494104,51632281.19496826
910,550,27.369829068133097,0.6493647747753677,0,0.42547536758909793,24364853.35001476
870,550,33.94053759896905,0.8052756643642998,0,0.6977618931436183,38200978.519175164
950,550,15.454661730454914,0.3666396576133,0,0.4148495519594046,24800601.719390977
810,550,50.574901856753385,1.199978688704285,0,0.8934539976984543,45541276.816230446
850,550,40.727652536570496,0.9663214819801276,0,0.678723973476625,36304470.11193497
