Wavelength (nm),Power Meter Range (mW),Front Panel Bias,Bias (V),Command (V),Power (mW),Photons Per Pulse (#)
760,550,63.83149987425425,1.5145335011924415,0.08,0.626037637668059,29940705.086596306
760,550,63.83149987425425,1.5145335011924415,0.19,0.8629047777936273,41269048.241206236
760,550,63.83149987425425,1.5145335011924415,0.1,0.8629047777943315,41269048.24123991
760,550,63.83149987425425,1.5145335011924415,0.15,0.7535474252453429,36038953.364011
760,550,63.83149987425425,1.5145335011924415,0.01,0.8288136193124911,39638613.80607197
760,550,63.83149987425425,1.5145335011924415,0.13,1.025391208499612,49040079.900681436
760,550,63.83149987425425,1.5145335011924415,0.23,1.1041993411006572,52809136.12775189
760,550,63.83149987425425,1.5145335011924415,0.07,1.1152678990481957,53338497.95729875
760,550,63.83149987425425,1.5145335011924415,0.21,1.0869323906960209,51983331.673349075
760,550,63.83149987425425,1.5145335011924415,0.25,1.2232970246361774,58505069.41463279
760,550,63.83149987425425,1.5145335011924415,0.2,0.9514532413910167,45503942.87839797
760,550,63.83149987425425,1.5145335011924415,0.09,0.9784605227831347,46795585.74249822
760,550,63.83149987425425,1.5145335011924415,0.11,1.050184778297886,50225850.39866494
760,550,63.83149987425425,1.5145335011924415,0.16,1.2100147550992866,57869835.21918402
880,550,35.23014377797817,0.8358756591205907,0.23,1.0138799082310423,56145787.32377194
880,550,35.23014377797817,0.8358756591205907,0.07,0.8881410899194591,49182728.9832808
880,550,35.23014377797817,0.8358756591205907,0.02,0.9138201443620226,50604762.02457388
880,550,35.23014377797817,0.8358756591205907,0.16,0.9359572602576463,51830652.57723896
880,550,35.23014377797817,0.8358756591205907,0.25,0.98023149205991,54282433.683179185
880,550,35.23014377797817,0.8358756591205907,0.14,0.8673322009738806,48030391.86357116
880,550,35.23014377797817,0.8358756591205907,0.12,0.8744160780597594,48422676.840384066
880,550,35.23014377797817,0.8358756591205907,0.21,1.1639695540321167,64457325.27243308
880,550,35.23014377797817,0.8358756591205907,0.0,0.9789032651101381,54208880.25023889
880,550,35.23014377797817,0.8358756591205907,0.18,0.917804825221556,50825422.32396062
880,550,35.23014377797817,0.8358756591205907,0.13,0.9040798133682755,50065370.181419365
880,550,35.23014377797817,0.8358756591205907,0.22,0.8912402861493529,49354353.66090347
880,550,35.23014377797817,0.8358756591205907,0.2,1.0169791044564842,56317412.001148075
880,550,35.23014377797817,0.8358756591205907,0.05,1.0165363621368357,56292894.189998634
880,550,35.23014377797817,0.8358756591205907,0.09,0.8403249195745608,46534805.388950996
880,550,35.23014377797817,0.8358756591205907,0.03,0.9541096953011958,52835882.83093037
880,550,35.23014377797817,0.8358756591205907,0.01,0.9789032651067509,54208880.250051305
880,550,35.23014377797817,0.8358756591205907,0.1,1.042658158894958,57739445.04221466
880,550,35.23014377797817,0.8358756591205907,0.15,0.9585371184800406,53081060.941447884
880,550,35.23014377797817,0.8358756591205907,0.04,0.9031943287251842,50016334.55891037
880,550,35.23014377797817,0.8358756591205907,0.08,0.8403249195742077,46534805.388931446
880,550,35.23014377797817,0.8358756591205907,0.06,0.9027515864057962,49991816.74777536
880,550,35.23014377797817,0.8358756591205907,0.11,0.8974386785959803,49697603.01542003
880,550,35.23014377797817,0.8358756591205907,0.24,0.8633475201078402,47809731.56382407
880,550,35.23014377797817,0.8358756591205907,0.17,0.8925685130909595,49427907.093391605
880,550,35.23014377797817,0.8358756591205907,0.19,0.9155911136288657,50702833.26852089
920,550,25.696358412552815,0.6096563784299738,0.17,0.5428020818911078,31425147.10214128
920,550,25.696358412552815,0.6096563784299738,0.2,0.38961323986199514,22556386.174770173
920,550,25.696358412552815,0.6096563784299738,0.24,0.4967568808226738,28759392.372752655
920,550,25.696358412552815,0.6096563784299738,0.01,0.47329153795925694,27400882.750394598
920,550,25.696358412552815,0.6096563784299738,0.04,0.4684213724696355,27118927.92371096
920,550,25.696358412552815,0.6096563784299738,0.11,0.4555818452410852,26375592.469886955
920,550,25.696358412552815,0.6096563784299738,0.08,0.4086511595284278,23658573.225991566
920,550,25.696358412552815,0.6096563784299738,0.19,0.5335044932047448,30886869.704335023
920,550,25.696358412552815,0.6096563784299738,0.13,0.46000926842268947,26631915.0401332
920,550,25.696358412552815,0.6096563784299738,0.14,0.5308480393071524,30733076.16284554
920,550,25.696358412552815,0.6096563784299738,0.18,0.5374891740757247,31117560.017992944
920,550,25.696358412552815,0.6096563784299738,0.0,0.450268937431743,26068005.386088353
920,550,25.696358412552815,0.6096563784299738,0.12,0.7004183471022932,40550230.59978576
920,550,25.696358412552815,0.6096563784299738,0.07,0.5153520581738835,29835947.167119488
